name,minLon,midLon,maxLon,minLat,midLat,maxLat
West Woodland,-122.37648625599988,-122.36866107043353,-122.36075799399991,47.65533747300008,47.66757206792284,47.675992139000066
Olympic Manor,-122.38758491497795,-122.3821835817564,-122.37677541582067,47.69051580923566,47.69606176398851,47.701594018620796
Sunset Hill,-122.41192632199991,-122.40086583239317,-122.39300675599995,47.66550522000005,47.6792528696711,47.690519999000045
Maple Leaf,-122.32990970970815,-122.31817090981697,-122.30334862297917,47.68153415242538,47.695293313323035,47.70853649240732
Dunlap,-122.2807133279999,-122.26994993831403,-122.25906967799992,47.51903852500003,47.525636264717726,47.53167637300003
South Delridge,-122.36728503951805,-122.36045119436052,-122.3550257514112,47.51552799956269,47.526169598440326,47.53795317802328
Laurelhurst,-122.29020561999992,-122.27765016584715,-122.26634255899988,47.647082678000054,47.658964858831546,47.668431176000055
Eastlake,-122.33193314299993,-122.32615041796771,-122.32252155399996,47.63483075200001,47.642926256482994,47.65298694000005
Waterfront,-122.36135204399991,-122.34379250887308,-122.33539133299986,47.59242369500002,47.603830416075,47.618591
Whittier Heights,-122.37680952170936,-122.371389211916,-122.36604025642103,47.675964119598575,47.68330657680699,47.69066493571394
Admiral,-122.40402647769893,-122.38687348681235,-122.37069843156878,47.56910953592126,47.578968557000294,47.59434128079933
Minor,-122.31692708250402,-122.30990201855138,-122.30233007872783,47.599204159627305,47.60637996091361,47.61293266293889
Arbor Heights,-122.39216354699991,-122.38049746071565,-122.37039399999989,47.49591315800006,47.50867069858749,47.51751149200003
Meadowbrook,-122.30553341433342,-122.29622527647558,-122.29053141527048,47.69737902936912,47.70553537464216,47.71562059232635
Wedgwood,-122.30812790199988,-122.29175796054706,-122.27943148499989,47.682723623000065,47.690512147017316,47.69754828900004
Wallingford,-122.34726605899989,-122.33291462101384,-122.32166363999993,47.64351267800003,47.65934620269301,47.67311499100003
Interbay,-122.4022018049999,-122.38096934095545,-122.35733215399986,47.617779085000045,47.64144856744482,47.66677354200004
Fauntleroy,-122.40270832199988,-122.3900089435255,-122.37658630099989,47.50533449000004,47.52384119260862,47.53854813900005
Green Lake,-122.34686080999987,-122.33299466570124,-122.3205587269999,47.66936123600003,47.68097986390868,47.69055611100003
Columbia City,-122.29928727106218,-122.2873082600475,-122.272719451168,47.55368018824796,47.562264506923775,47.57592
Uptown,-122.36476613865801,-122.35434264980285,-122.34368637390915,47.61856821047623,47.622637308631425,47.625996467399574
Olympic Hills,-122.31267377099992,-122.3027322911268,-122.29223506299986,47.71926040600003,47.726726640544776,47.73394855100007
Central,-122.31665384418984,-122.30342308047373,-122.29607524994722,47.61290263187831,47.615396095633834,47.618933998020395
Judkins Park,-122.30636235182342,-122.30191490956545,-122.29673613472694,47.5903346932401,47.596083961436115,47.60171208458132
Lower Queen Anne,-122.36449464645614,-122.35569738372362,-122.3435882466877,47.62540305698988,47.62800880100663,47.63231877145906
